elapsed_time_s,speed_px_s,flow_x_px,flow_y_px
1716129761.3156,-20.5389,-11.1762,23.3827
1716129762.9279,-20.3027,-11.1164,23.1468
1716129764.5335,-19.4263,-10.5834,22.1222
1716129766.1428,-20.4750,-11.1511,23.3146
1716129767.7558,-20.3058,-11.0890,23.1364
1716129769.3523,-19.5866,-10.6564,22.2979
1716129770.9725,-20.5976,-11.2314,23.4607
1716129772.5890,-20.6207,-11.2072,23.4695
1716129774.2038,-20.7858,-11.3635,23.6892
1716129775.8226,-20.1847,-11.0026,22.9886
1716129777.4779,-20.3797,-11.1037,23.2083
1716129779.0941,-20.4611,-11.1752,23.3140
1716129780.7028,-19.3017,-10.4944,21.9702
1716129782.3247,-20.4337,-11.1457,23.2758
1716129783.9334,-20.7804,-11.3676,23.6864
1716129785.5565,-20.7097,-11.2426,23.5645
1716129787.1927,-20.9305,-11.4336,23.8498
1716129788.9020,-21.9274,-11.9428,24.9688
1716129790.5888,-20.7894,-11.2814,23.6531
1716129792.2826,-22.2722,-12.1180,25.3554
1716129793.9319,-20.3569,-11.0525,23.1638
1716129795.5830,-20.8943,-11.3291,23.7681
1716129797.2520,-21.9986,-11.9569,25.0381
1716129798.8914,-20.4098,-11.0947,23.2305
1716129800.5508,-20.7822,-11.2788,23.6455
1716129802.1973,-20.3023,-11.0189,23.0997
1716129803.8365,-20.9057,-11.3872,23.8058
1716129805.4852,-21.0936,-11.4566,24.0041
1716129807.1517,-22.2328,-12.0522,25.2894
1716129808.8623,-21.1481,-11.4902,24.0679
1716129810.5346,-22.2799,-12.1050,25.3560
1716129812.2001,-20.9617,-11.4033,23.8627
1716129813.8665,-22.5022,-12.1938,25.5937
1716129815.5340,-20.7602,-11.2823,23.6279
1716129817.2176,-21.1593,-11.4852,24.0755
1716129818.8832,-21.9518,-11.8424,24.9425
1716129820.5508,-20.7046,-11.2682,23.5723
1716129822.2291,-21.9180,-11.8670,24.9244
1716129823.9039,-20.9841,-11.3749,23.8689
1716129825.6224,-22.4542,-12.1902,25.5498
1716129827.2896,-20.3533,-11.0583,23.1634
1716129828.9517,-20.8886,-11.3213,23.7593
1716129830.6190,-22.3429,-12.1119,25.4146
1716129832.2870,-21.1032,-11.4756,24.0215
1716129833.9611,-20.9653,-11.4007,23.8646
1716129835.6445,-22.5960,-12.2702,25.7126
1716129837.3079,-21.0376,-11.4131,23.9341
1716129838.9683,-20.5506,-11.1683,23.3892
1716129840.6258,-21.9903,-11.9396,25.0226
1716129842.3315,-20.0641,-10.8718,22.8203
1716129843.9737,-20.4352,-11.1275,23.2683
1716129845.6322,-22.2879,-12.0820,25.3520
1716129847.2977,-20.5096,-11.1617,23.3501
