elapsed_time_s,speed_px_s,flow_x_px,flow_y_px
1755439928.0633,-1.6703,-0.5941,1.7728
1755439928.2620,-3.1862,-0.9443,3.3232
1755439928.4735,-3.2559,-0.9909,3.4033
1755439928.6680,-2.8973,-0.9442,3.0473
1755439928.8715,-1.9943,-0.5998,2.0825
1755439929.0837,-3.0005,-1.0323,3.1731
1755439929.2860,-3.0719,-0.9380,3.2120
1755439929.4846,-1.7984,-0.5614,1.8839
1755439929.6880,-3.1938,-1.0222,3.3534
1755439929.8866,-3.1357,-0.9546,3.2778
1755439930.0970,-1.7478,-0.5583,1.8348
1755439930.2931,-3.0730,-0.9773,3.2246
1755439930.4928,-3.0682,-0.9467,3.2110
1755439930.6927,-1.9026,-0.5609,1.9836
1755439930.8900,-2.8858,-1.0579,3.0736
1755439931.0874,-3.1315,-0.9089,3.2608
1755439931.3002,-1.8202,-0.6389,1.9291
1755439931.4930,-3.0918,-1.0064,3.2515
1755439931.7028,-3.1956,-0.9674,3.3388
1755439931.8990,-3.1885,-0.9847,3.3371
1755439932.0983,-1.7440,-0.6048,1.8460
1755439932.2957,-3.1192,-0.9958,3.2743
1755439932.4979,-1.9215,-0.6119,2.0166
1755439932.6906,-3.0945,-1.0213,3.2587
1755439932.8877,-3.3087,-1.0575,3.4736
1755439933.0880,-1.8913,-0.6465,1.9987
1755439933.2982,-3.0800,-0.9091,3.2114
1755439933.4833,-3.2089,-1.0482,3.3758
1755439933.6874,-1.7187,-0.5652,1.8092
1755439933.8880,-3.1977,-1.0168,3.3555
1755439934.1120,-3.0594,-0.9712,3.2099
1755439934.3114,-3.0713,-0.9411,3.2123
1755439934.5117,-1.9576,-0.6412,2.0599
1755439934.7222,-2.9484,-0.9384,3.0941
1755439934.9119,-3.1690,-0.9621,3.3118
1755439935.1230,-1.7807,-0.5809,1.8730
1755439935.3229,-3.2803,-0.9717,3.4212
1755439935.5188,-3.2315,-1.0830,3.4082
1755439935.7222,-1.7899,-0.5398,1.8695
1755439935.9238,-3.1606,-1.0595,3.3334
1755439936.1220,-3.0202,-0.8786,3.1455
1755439936.3244,-1.8845,-0.6105,1.9810
1755439936.5318,-2.9727,-0.9373,3.1170
1755439936.7255,-3.1080,-1.0327,3.2750
1755439936.8601,-1.7102,-0.5175,1.7868
1755439937.0618,-1.9791,-0.6705,2.0896
1755439937.2735,-2.9962,-0.8894,3.1255
1755439937.4690,-3.2572,-0.9657,3.3973
1755439937.6770,-3.1719,-1.0441,3.3394
1755439937.8835,-1.8917,-0.6580,2.0029
1755439938.0841,-3.1541,-1.0147,3.3133
1755439938.2873,-2.9835,-1.0108,3.1501
1755439938.4879,-1.9022,-0.5651,1.9844
1755439938.6895,-3.2052,-0.9402,3.3403
1755439938.8905,-2.9458,-1.0264,3.1195
1755439939.0885,-1.8669,-0.5650,1.9506
1755439939.2834,-3.0792,-0.9483,3.2219
1755439939.4722,-3.1704,-0.9981,3.3238
1755439939.6909,-1.7113,-0.6174,1.8192
1755439939.8835,-3.3825,-0.9970,3.5264
1755439940.0833,-3.2016,-0.9615,3.3428
1755439940.2819,-1.8917,-0.6048,1.9860
1755439940.4856,-3.0954,-1.0408,3.2657
1755439940.6836,-3.1287,-0.9999,3.2846
1755439940.8844,-1.8323,-0.5573,1.9152
1755439941.0871,-3.1625,-0.9802,3.3110
1755439941.2836,-1.8843,-0.6685,1.9993
1755439941.4780,-3.1748,-0.9876,3.3249
1755439941.6782,-3.0955,-0.9729,3.2448
1755439941.8838,-3.2436,-1.0194,3.4000
1755439942.0964,-1.8771,-0.6494,1.9862
1755439942.2918,-3.0850,-1.0080,3.2455
1755439942.4905,-1.8453,-0.5668,1.9304
1755439942.6901,-2.9835,-0.9495,3.1310
1755439942.9033,-3.0684,-0.9292,3.2060
1755439943.1007,-3.4235,-1.0608,3.5841
1755439943.2987,-1.7654,-0.5999,1.8645
1755439943.4986,-3.1433,-0.9187,3.2748
1755439944.0953,-8.4522,-2.5932,8.8411
1755439944.3021,-3.0944,-0.9248,3.2296
1755439944.5031,-1.8811,-0.6117,1.9780
1755439944.7045,-3.1437,-0.9645,3.2883
1755439945.2995,-8.0647,-2.4890,8.4401
1755439945.4982,-3.3104,-1.0005,3.4582
1755439945.6979,-1.6967,-0.5639,1.7879
1755439945.9022,-3.3305,-1.0404,3.4893
1755439946.4893,-7.9208,-2.5259,8.3138
1755439946.6736,-3.2939,-1.0409,3.4545
1755439946.8759,-1.6924,-0.4863,1.7609
1755439947.0738,-3.1937,-0.9251,3.3250
1755439947.4575,-5.2004,-1.5500,5.4265
1755439947.6544,-3.1022,-1.0091,3.2622
1755439947.8630,-2.9716,-0.9186,3.1103
1755439948.0506,-1.8825,-0.6510,1.9919
1755439948.2689,-3.2234,-1.0588,3.3929
1755439948.4620,-1.7086,-0.5553,1.7965
1755439948.6562,-3.0775,-0.9699,3.2267
1755439948.8505,-3.0896,-0.9901,3.2444
1755439949.0594,-3.0968,-0.9497,3.2392
1755439949.2581,-1.8503,-0.5905,1.9423
1755439949.4512,-3.3346,-1.0993,3.5111
1755439949.6618,-1.6863,-0.4962,1.7578
1755439950.6249,-14.5644,-4.5136,15.2478
1755439950.8204,-1.9128,-0.5854,2.0003
1755439951.0203,-3.4764,-1.1182,3.6518
1755439951.2221,-1.6311,-0.5199,1.7119
1755439951.4209,-3.5560,-1.0657,3.7122
1755439951.6216,-2.7191,-0.9262,2.8726
1755439952.0125,-4.9931,-1.4957,5.2123
1755439953.1617,-16.3379,-4.9983,17.0854
1755439953.9479,-9.9410,-3.0631,10.4022
1755439954.1447,-1.8691,-0.6449,1.9773
1755439954.3419,-3.2786,-1.0269,3.4357
1755439954.5455,-3.5930,-1.1595,3.7755
1755439955.1504,-7.3813,-2.2891,7.7281
1755439955.3482,-1.7251,-0.5679,1.8162
1755439955.5500,-3.6680,-1.0857,3.8253
1755439955.7478,-3.2947,-1.0645,3.4625
1755439955.9580,-2.7031,-0.8966,2.8479
1755439956.3504,-5.3965,-1.6379,5.6396
1755439956.5480,-1.8747,-0.6221,1.9752
1755439956.7516,-4.4858,-1.3920,4.6969
1755439957.1543,-4.9889,-1.5786,5.2327
1755439957.5332,-5.3642,-1.6283,5.6059
1755439957.9358,-5.0198,-1.6285,5.2774
1755439958.1444,-2.9889,-0.9074,3.1236
1755439958.3520,-1.9720,-0.6269,2.0693
1755439958.5504,-3.3297,-1.0938,3.5048
1755439958.7476,-3.0176,-0.9413,3.1610
1755439959.1350,-4.9092,-1.5131,5.1371
1755439959.3468,-3.1181,-0.9256,3.2526
1755439959.5429,-1.6881,-0.6390,1.8050
1755439959.7390,-3.4951,-1.0499,3.6494
1755439959.9360,-3.3961,-1.0208,3.5462
1755439960.7067,-10.0529,-3.1093,10.5228
1755439960.9022,-3.0879,-0.9940,3.2440
1755439961.1098,-1.9100,-0.6464,2.0164
1755439961.3063,-2.8009,-0.9248,2.9496
1755439961.5161,-3.7169,-1.1734,3.8977
1755439961.7118,-1.4687,-0.5087,1.5543
1755439961.9115,-3.6958,-1.1654,3.8751
1755439962.1119,-3.0834,-1.0246,3.2492
1755439962.3122,-2.9997,-0.9551,3.1481
1755439962.5164,-1.5609,-0.4671,1.6293
1755439962.7134,-3.4935,-1.0891,3.6593
1755439962.8981,-1.5606,-0.5348,1.6497
1755439963.1181,-3.6295,-1.1542,3.8086
1755439963.3176,-2.9787,-0.9161,3.1164
1755439963.5142,-3.2130,-0.9595,3.3532
1755439963.7201,-1.5036,-0.5240,1.5923
1755439963.9272,-3.5489,-1.1135,3.7195
1755439964.1246,-3.3282,-1.0414,3.4873
1755439964.3266,-1.9811,-0.6698,2.0913
1755439964.5117,-3.1963,-1.0180,3.3545
1755439964.7299,-3.1857,-1.0120,3.3426
1755439964.9276,-1.7353,-0.5923,1.8336
1755439965.1155,-3.1519,-1.0282,3.3154
1755439965.3177,-3.2538,-1.0387,3.4156
1755439965.5280,-1.6715,-0.5213,1.7510
1755439965.7284,-3.3734,-1.0927,3.5460
1755439965.9268,-3.1888,-0.9470,3.3265
1755439966.3114,-4.9007,-1.5515,5.1405
1755439966.5289,-3.1124,-0.9346,3.2497
1755439966.7245,-1.8793,-0.5991,1.9725
1755439966.9301,-3.1754,-1.0235,3.3363
1755439967.1263,-3.1644,-0.9851,3.3142
1755439967.5147,-4.9250,-1.5416,5.1607
1755439967.7116,-2.8760,-0.8620,3.0024
1755439967.9117,-1.7725,-0.6083,1.8740
1755439968.1209,-3.0358,-0.9210,3.1724
1755439968.3310,-3.0326,-0.9933,3.1911
1755439968.4698,-2.0955,-0.6658,2.1987
1755439968.6718,-1.8406,-0.6286,1.9449
1755439968.8715,-3.0313,-0.9936,3.1900
1755439969.0755,-3.0769,-1.0156,3.2402
1755439969.2653,-3.2679,-0.9804,3.4118
1755439969.4641,-1.6326,-0.5524,1.7236
1755439969.6644,-3.0952,-0.9837,3.2478
1755439969.8780,-1.9239,-0.6214,2.0218
1755439970.0651,-3.1755,-1.0612,3.3481
1755439970.2685,-3.3396,-1.0407,3.4980
1755439970.4655,-3.0921,-0.9266,3.2279
1755439970.6832,-1.7844,-0.6898,1.9131
1755439970.8806,-3.0339,-0.9669,3.1842
1755439971.0835,-2.8986,-0.8773,3.0285
1755439971.2802,-1.7523,-0.5857,1.8476
1755439971.4750,-3.0469,-0.9147,3.1813
1755439971.6666,-1.8577,-0.6366,1.9638
1755439971.8668,-2.9055,-0.9457,3.0555
1755439972.0600,-3.3941,-0.9959,3.5372
1755439972.2776,-1.7270,-0.6094,1.8314
1755439972.4706,-3.2181,-1.0020,3.3705
1755439972.6889,-3.2141,-1.0356,3.3768
1755439972.8876,-3.0589,-1.0277,3.2270
1755439973.0879,-1.8964,-0.6499,2.0046
1755439973.2866,-2.9413,-0.8927,3.0738
1755439973.4889,-2.9217,-0.9761,3.0805
1755439973.6936,-1.6555,-0.5452,1.7429
1755439973.9059,-3.3909,-1.0926,3.5625
1755439974.1037,-3.3694,-1.1185,3.5502
1755439974.3043,-1.8564,-0.6697,1.9735
1755439974.5065,-3.1474,-0.9802,3.2965
1755439974.7196,-2.9571,-0.9408,3.1031
1755439974.9283,-3.0905,-1.0412,3.2611
1755439975.1336,-1.6718,-0.5226,1.7515
1755439975.3304,-3.2549,-1.0210,3.4113
1755439975.5428,-3.0214,-0.9599,3.1702
1755439975.7428,-3.1052,-0.9191,3.2384
1755439975.9443,-1.7924,-0.6400,1.9032
1755439976.1379,-3.0224,-1.0339,3.1943
1755439976.3499,-1.7669,-0.5374,1.8468
1755439976.5483,-3.1015,-1.0286,3.2676
1755439976.7618,-3.2587,-1.0126,3.4124
1755439976.9644,-3.2419,-1.0357,3.4033
1755439977.1736,-1.7536,-0.5608,1.8411
1755439977.3982,-3.0403,-0.9854,3.1960
1755439977.6060,-3.1432,-0.9553,3.2852
1755439977.8025,-3.1858,-1.0334,3.3492
1755439977.9983,-1.6973,-0.6069,1.8025
1755439978.2061,-3.3608,-1.0451,3.5196
1755439978.4064,-3.1799,-1.0255,3.3412
1755439978.6068,-3.0989,-1.0419,3.2693
1755439978.8173,-1.7405,-0.6110,1.8446
1755439979.0141,-2.9854,-0.9032,3.1190
1755439979.2179,-2.8552,-0.9134,2.9977
1755439979.4200,-1.7597,-0.6180,1.8650
1755439979.6417,-3.0440,-1.0076,3.2064
1755439979.8381,-3.2950,-1.0042,3.4446
1755439980.0394,-2.9071,-0.9824,3.0686
1755439980.2350,-1.7191,-0.5925,1.8184
1755439980.4506,-3.1799,-0.9451,3.3174
1755439980.6516,-3.2401,-1.0662,3.4110
1755439980.8535,-1.9237,-0.6079,2.0174
1755439981.0496,-3.1203,-1.0557,3.2941
1755439981.2485,-3.1174,-0.9663,3.2638
1755439981.4483,-1.7830,-0.5820,1.8756
1755439981.6501,-3.0895,-1.0005,3.2475
1755439981.8488,-2.9240,-0.9154,3.0639
1755439982.0622,-1.7953,-0.5928,1.8906
1755439982.2488,-3.2286,-1.0029,3.3808
1755439982.4485,-2.9575,-0.9938,3.1200
1755439982.6534,-2.1066,-0.6618,2.2081
1755439982.8650,-2.9722,-0.9698,3.1264
1755439983.0622,-2.8978,-0.9615,3.0532
1755439983.2620,-1.7217,-0.5566,1.8095
1755439983.4618,-3.1505,-0.9852,3.3009
1755439983.6708,-2.7791,-0.9005,2.9214
1755439983.8667,-1.9008,-0.6092,1.9960
1755439984.0644,-3.3189,-1.0849,3.4918
1755439984.2659,-3.1998,-0.9474,3.3371
1755439984.4666,-1.7642,-0.6237,1.8712
1755439984.6701,-3.0115,-0.9638,3.1620
1755439984.8718,-3.2951,-1.0674,3.4637
1755439985.0737,-3.2036,-0.9618,3.3449
1755439985.3026,-1.5487,-0.5805,1.6539
1755439985.5102,-3.1616,-1.0119,3.3196
1755439985.7118,-3.1429,-0.9930,3.2961
1755439985.9246,-3.0874,-0.9855,3.2408
1755439986.1419,-1.7518,-0.5575,1.8384
1755439986.3343,-3.1943,-1.0128,3.3511
1755439986.5221,-3.2433,-1.0357,3.4047
1755439986.7214,-3.1052,-0.9997,3.2622
1755439986.9307,-1.7546,-0.5615,1.8422
1755439987.1267,-3.0538,-0.9511,3.1985
1755439987.3340,-1.7024,-0.5262,1.7819
1755439987.5336,-3.0212,-0.9507,3.1673
1755439987.7334,-2.9698,-1.0021,3.1343
1755439987.9298,-3.2450,-1.0090,3.3983
1755439988.1297,-1.6169,-0.5365,1.7036
1755439988.3284,-3.3746,-1.0665,3.5391
1755439988.5396,-1.7305,-0.6100,1.8349
1755439988.7341,-3.0808,-1.0382,3.2510
1755439988.9391,-3.0628,-0.9646,3.2111
1755439989.1480,-2.9658,-0.9171,3.1043
1755439989.3521,-1.7916,-0.6002,1.8894
1755439989.5460,-2.9806,-0.9921,3.1414
1755439989.7478,-3.1071,-1.0403,3.2766
1755439989.9478,-1.8278,-0.6009,1.9240
1755439990.1570,-3.2384,-1.0496,3.4042
1755439990.3538,-2.9630,-0.9744,3.1191
1755439990.5507,-1.9355,-0.6129,2.0302
1755439990.7484,-3.0676,-1.0212,3.2331
1755439990.9557,-2.8418,-0.8901,2.9779
1755439991.1534,-1.9297,-0.6817,2.0466
1755439991.3524,-2.9439,-0.9478,3.0927
1755439991.5523,-2.9756,-0.9066,3.1107
1755439991.7606,-1.7706,-0.5960,1.8682
1755439991.9478,-3.2241,-1.0199,3.3816
1755439992.1562,-3.1302,-1.0033,3.2871
1755439992.3560,-1.8464,-0.6209,1.9480
1755439992.5782,-3.1307,-0.9799,3.2805
1755439992.7781,-3.0894,-1.0421,3.2604
1755439992.9762,-3.1852,-1.0147,3.3429
1755439993.1782,-1.6037,-0.5415,1.6926
1755439993.3908,-3.0846,-0.9942,3.2409
1755439993.5884,-3.0874,-0.9908,3.2425
1755439993.7859,-1.6647,-0.5110,1.7413
1755439993.9866,-3.2138,-1.0044,3.3671
1755439994.1844,-3.1803,-1.0510,3.3494
1755439994.3906,-1.7630,-0.5910,1.8594
1755439994.5886,-3.1344,-1.0433,3.3035
1755439994.7882,-3.0152,-1.0304,3.1864
1755439994.9927,-1.7126,-0.5713,1.8054
1755439995.1924,-3.1192,-0.9820,3.2701
1755439995.3984,-2.9697,-0.9674,3.1233
1755439995.5980,-3.1263,-0.9967,3.2813
1755439995.8120,-1.7510,-0.5947,1.8492
1755439996.0116,-3.0149,-0.9296,3.1549
1755439996.2118,-2.9917,-1.0433,3.1684
1755439996.4278,-1.9659,-0.6750,2.0785
