elapsed_time_s,speed_px_s,flow_x_px,flow_y_px
0.0000,6.0478,-0.5941,1.7728
0.1988,17.3823,-0.9443,3.3232
0.4102,16.7631,-0.9909,3.4033
0.6047,16.4005,-0.9442,3.0473
0.8082,10.6520,-0.5998,2.0825
1.0204,15.7201,-1.0323,3.1731
1.2227,16.5402,-0.9380,3.2120
1.4213,9.9008,-0.5614,1.8839
1.6248,17.2289,-1.0222,3.3534
1.8233,17.1935,-0.9546,3.2778
2.0337,9.1169,-0.5583,1.8348
2.2298,17.1820,-0.9773,3.2246
2.4295,16.7603,-0.9467,3.2110
2.6295,10.3108,-0.5609,1.9836
2.8267,16.4784,-1.0579,3.0736
3.0241,17.1494,-0.9089,3.2608
3.2369,9.5483,-0.6389,1.9291
3.4298,17.6513,-1.0064,3.2515
3.6395,16.5737,-0.9674,3.3388
3.8357,17.7339,-0.9847,3.3371
4.0351,9.7438,-0.6048,1.8460
4.2324,17.3427,-0.9958,3.2743
4.4346,10.4239,-0.6119,2.0166
4.6273,17.7217,-1.0213,3.2587
4.8245,18.4140,-1.0575,3.4736
5.0248,10.4873,-0.6465,1.9987
5.2349,15.8841,-0.9091,3.2114
5.4200,19.0956,-1.0482,3.3758
5.6242,9.2844,-0.5652,1.8092
5.8247,17.4809,-1.0168,3.3555
6.0487,14.9734,-0.9712,3.2099
6.2482,16.7818,-0.9411,3.2123
6.4484,10.7740,-0.6412,2.0599
6.6589,15.3601,-0.9384,3.0941
6.8487,18.1731,-0.9621,3.3118
7.0597,9.2936,-0.5809,1.8730
7.2596,17.7911,-0.9717,3.4212
7.4555,18.2502,-1.0830,3.4082
7.6590,9.5653,-0.5398,1.8695
7.8605,17.3533,-1.0595,3.3334
8.0587,16.4811,-0.8786,3.1455
8.2612,10.2380,-0.6105,1.9810
8.4685,15.6967,-0.9373,3.1170
8.6622,17.7249,-1.0327,3.2750
8.7968,13.8274,-0.5175,1.7868
8.9985,10.8791,-0.6705,2.0896
9.2102,15.3479,-0.8894,3.1255
9.4057,18.0655,-0.9657,3.3973
9.6137,16.8223,-1.0441,3.3394
