elapsed_time_s,speed_px_s,flow_x_px,flow_y_px
1716129761.3156,-20.5389,-11.1762,23.3827
1716129762.9279,-20.3027,-11.1164,23.1468
1716129764.5335,-19.4263,-10.5834,22.1222
1716129766.1428,-20.4750,-11.1511,23.3146
1716129767.7558,-20.3058,-11.0890,23.1364
1716129769.3523,-19.5866,-10.6564,22.2979
1716129770.9725,-20.5976,-11.2314,23.4607
1716129772.5890,-20.6207,-11.2072,23.4695
1716129774.2038,-20.7858,-11.3635,23.6892
1716129775.8226,-20.1847,-11.0026,22.9886
1716129777.4779,-20.3797,-11.1037,23.2083
1716129779.0941,-20.4611,-11.1752,23.3140
1716129780.7028,-19.3017,-10.4944,21.9702
1716129782.3247,-20.4337,-11.1457,23.2758
1716129783.9334,-20.7804,-11.3676,23.6864
1716129785.5565,-20.7097,-11.2426,23.5645
1716129787.1927,-20.9305,-11.4336,23.8498
1716129788.9020,-21.9274,-11.9428,24.9688
1716129790.5888,-20.7894,-11.2814,23.6531
1716129792.2826,-22.2722,-12.1180,25.3554
1716129793.9319,-20.3569,-11.0525,23.1638
1716129795.5830,-20.8943,-11.3291,23.7681
1716129797.2520,-21.9986,-11.9569,25.0381
1716129798.8914,-20.4098,-11.0947,23.2305
1716129800.5508,-20.7822,-11.2788,23.6455
1716129802.1973,-20.3023,-11.0189,23.0997
1716129803.8365,-20.9057,-11.3872,23.8058
1716129805.4852,-21.0936,-11.4566,24.0041
1716129807.1517,-22.2328,-12.0522,25.2894
1716129808.8623,-21.1481,-11.4902,24.0679
1716129810.5346,-22.2799,-12.1050,25.3560
1716129812.2001,-20.9617,-11.4033,23.8627
1716129813.8665,-22.5022,-12.1938,25.5937
1716129815.5340,-20.7602,-11.2823,23.6279
1716129817.2176,-21.1593,-11.4852,24.0755
1716129818.8832,-21.9518,-11.8424,24.9425
1716129820.5508,-20.7046,-11.2682,23.5723
1716129822.2291,-21.9180,-11.8670,24.9244
1716129823.9039,-20.9841,-11.3749,23.8689
1716129825.6224,-22.4542,-12.1902,25.5498
1716129827.2896,-20.3533,-11.0583,23.1634
1716129828.9517,-20.8886,-11.3213,23.7593
1716129830.6190,-22.3429,-12.1119,25.4146
1716129832.2870,-21.1032,-11.4756,24.0215
1716129833.9611,-20.9653,-11.4007,23.8646
1716129835.6445,-22.5960,-12.2702,25.7126
1716129837.3079,-21.0376,-11.4131,23.9341
1716129838.9683,-20.5506,-11.1683,23.3892
1716129840.6258,-21.9903,-11.9396,25.0226
1716129842.3315,-20.0641,-10.8718,22.8203
1716129843.9737,-20.4352,-11.1275,23.2683
1716129845.6322,-22.2879,-12.0820,25.3520
1716129847.2977,-20.5096,-11.1617,23.3501
1716129848.9782,-20.7740,-11.2458,23.6226
1716129850.6332,-21.8039,-11.8427,24.8125
1716129852.2820,-20.4586,-11.1337,23.2919
1716129853.9611,-20.6411,-11.2062,23.4869
1716129855.7609,-22.9368,-12.4689,26.1069
1716129857.4845,-21.8500,-11.8631,24.8628
1716129859.2099,-21.7381,-11.8049,24.7366
1716129860.8585,-20.0211,-10.8531,22.7735
1716129862.5299,-21.5293,-11.7069,24.5064
1716129864.1799,-20.1886,-10.9433,22.9638
1716129865.8470,-20.2064,-11.0445,23.0278
1716129867.5084,-20.3214,-10.9854,23.1006
1716129869.1781,-21.6363,-11.7876,24.6389
1716129870.8503,-20.3911,-11.0910,23.2122
1716129872.5022,-20.2580,-10.9995,23.0516
1716129874.2024,-21.7272,-11.8081,24.7286
1716129875.8719,-20.6128,-11.2191,23.4682
1716129877.5324,-21.6421,-11.7241,24.6137
1716129879.1976,-20.3831,-11.0291,23.1756
1716129880.8480,-20.5139,-11.1847,23.3649
1716129882.5355,-21.4402,-11.6506,24.4012
1716129884.2120,-20.0148,-10.8484,22.7657
1716129885.8739,-20.2979,-11.0316,23.1020
1716129887.5193,-20.1775,-10.9673,22.9655
1716129889.1867,-21.7749,-11.8322,24.7820
1716129890.8860,-20.9660,-11.4100,23.8697
1716129892.6018,-20.3450,-11.0318,23.1435
1716129894.3502,-21.6015,-11.7784,24.6040
1716129896.0695,-21.9260,-11.9351,24.9639
