elapsed_time_s,speed_px_s,flow_x_px,flow_y_px
1.6386,14.2697,-20.5389,-11.1762
3.2509,14.3566,-20.3027,-11.1164
4.8574,13.7705,-19.4263,-10.5834
6.4658,14.4955,-20.4750,-11.1511
8.0788,14.3434,-20.3058,-11.0890
9.6853,13.8804,-19.5866,-10.6564
11.2955,14.5699,-20.5976,-11.2314
12.9120,14.5182,-20.6207,-11.2072
14.5277,14.6626,-20.7858,-11.3635
16.1456,14.2088,-20.1847,-11.0026
17.8020,14.0114,-20.3797,-11.1037
19.4180,14.4270,-20.4611,-11.1752
21.0259,13.6639,-19.3017,-10.4944
22.6477,14.3513,-20.4337,-11.1457
24.2564,14.7242,-20.7804,-11.3676
25.8795,14.5184,-20.7097,-11.2426
27.5158,14.5756,-20.9305,-11.4336
29.2250,14.6082,-21.9274,-11.9428
30.9128,14.0141,-20.7894,-11.2814
32.6056,14.9784,-22.2722,-12.1180
34.2549,14.0447,-20.3569,-11.0525
35.9060,14.3953,-20.8943,-11.3291
37.5759,14.9938,-21.9986,-11.9569
39.2153,14.1702,-20.4098,-11.0947
40.8738,14.2571,-20.7822,-11.2788
42.5203,14.0294,-20.3023,-11.0189
44.1595,14.5224,-20.9057,-11.3872
45.8090,14.5526,-21.0936,-11.4566
47.4756,15.1739,-22.2328,-12.0522
49.1853,14.0776,-21.1481,-11.4902
50.8585,15.1541,-22.2799,-12.1050
52.5231,14.3352,-20.9617,-11.4033
54.1895,15.3590,-22.5022,-12.1938
55.8577,14.1633,-20.7602,-11.2823
57.5406,14.3065,-21.1593,-11.4852
59.2071,14.9665,-21.9518,-11.8424
60.8748,14.1353,-20.7046,-11.2682
62.5521,14.8597,-21.9180,-11.8670
64.2269,14.2516,-20.9841,-11.3749
65.9463,14.8598,-22.4542,-12.1902
67.6134,13.8940,-20.3533,-11.0583
69.2747,14.3019,-20.8886,-11.3213
70.9420,15.2430,-22.3429,-12.1119
72.6110,14.3929,-21.1032,-11.4756
74.2851,14.2552,-20.9653,-11.4007
75.9777,15.1912,-22.5960,-12.2702
77.6310,14.4768,-21.0376,-11.4131
79.2913,14.0867,-20.5506,-11.1683
80.9488,15.0965,-21.9903,-11.9396
82.6545,13.3789,-20.0641,-10.8718
84.2967,14.1696,-20.4352,-11.1275
85.9562,15.2767,-22.2879,-12.0820
87.6217,14.0196,-20.5096,-11.1617
89.3021,14.0577,-20.7740,-11.2458
90.9563,15.0003,-21.8039,-11.8427
92.6060,14.1181,-20.4586,-11.1337
94.2851,13.9883,-20.6411,-11.2062
96.0839,14.5132,-22.9368,-12.4689
97.8075,14.4253,-21.8500,-11.8631
99.5329,14.3367,-21.7381,-11.8049
101.1815,13.8138,-20.0211,-10.8531
102.8529,14.6616,-21.5293,-11.7069
104.5030,13.9174,-20.1886,-10.9433
106.1709,13.8062,-20.2064,-11.0445
107.8314,13.9119,-20.3214,-10.9854
111.1733,14.3072,-42.0159,-22.8216
112.8253,13.9542,-20.2580,-10.9995
114.5254,14.5450,-21.7272,-11.8081
116.1949,14.0568,-20.6128,-11.2191
117.8563,14.8153,-21.6421,-11.7241
119.5206,13.9250,-20.3831,-11.0291
121.1716,14.1524,-20.5139,-11.1847
122.8585,14.4650,-21.4402,-11.6506
124.5350,13.5788,-20.0148,-10.8484
126.1979,13.8928,-20.2979,-11.0316
127.8423,13.9662,-20.1775,-10.9673
129.5097,14.8624,-21.7749,-11.8322
131.2101,14.0380,-20.9660,-11.4100
132.9257,13.4893,-20.3450,-11.0318
134.6742,14.0720,-21.6015,-11.7784
136.3925,14.5283,-21.9260,-11.9351
138.0673,14.2910,-21.0513,-11.3888
139.7135,14.0472,-20.3161,-11.0454
141.3612,14.0151,-20.2835,-11.0391
143.0030,14.0880,-20.3427,-11.0090
144.6878,13.5940,-20.1289,-10.9246
146.3384,13.9648,-20.2563,-10.9992
148.0423,14.3766,-21.5277,-11.6906
149.6949,13.6779,-19.8883,-10.7403
151.3277,14.3272,-20.5665,-11.1497
152.9711,15.0105,-21.6725,-11.7831
154.6302,13.9993,-20.4130,-11.0779
156.2750,14.2196,-20.5585,-11.1526
157.9351,14.0508,-20.4995,-11.1303
159.6007,15.1911,-22.2551,-12.0385
161.2421,14.2830,-20.5893,-11.2099
162.8983,14.0969,-20.5386,-11.1042
164.5310,14.4023,-20.6594,-11.2308
166.2522,14.2149,-21.4984,-11.6797
167.8980,14.2941,-20.6790,-11.2159
169.5470,14.1384,-20.4800,-11.1420
171.1928,14.1171,-20.4216,-11.0792
172.8472,14.3424,-20.8560,-11.3167
