elapsed_time_s,speed_px_s,flow_x_px,flow_y_px
1716129939137.3813,-20.7766,-11.2507,23.6273
1716129940795.9321,-20.8565,-11.3423,23.7411
1716129942500.3010,-22.1534,-12.0262,25.2072
1716129944179.4585,-22.0080,-11.9067,25.0224
1716129945840.4431,-20.5896,-11.1660,23.4225
1716129947494.0881,-20.5409,-11.1963,23.3941
1716129949160.1223,-20.6080,-11.1333,23.4230
1716129950823.1736,-22.4303,-12.2165,25.5414
1716129952477.4968,-20.7195,-11.2486,23.5760
1716129954159.5640,-20.5934,-11.1690,23.4272
1716129955800.5942,-22.0657,-11.9909,25.1133
1716129957495.1096,-20.9861,-11.3808,23.8734
1716129959148.7815,-20.9944,-11.4138,23.8964
1716129960790.9326,-21.4923,-11.6665,24.4546
1716129962460.8669,-22.1531,-11.9907,25.1900
1716129964093.3171,-20.9835,-11.3515,23.8571
1716129965741.9912,-20.8472,-11.2882,23.7071
1716129967394.6121,-20.9734,-11.4103,23.8763
1716129969042.1753,-20.5357,-11.0886,23.3382
1716129970684.1553,-20.9126,-11.2937,23.7673
1716129972327.6602,-20.8543,-11.2544,23.6974
1716129974023.5466,-22.1572,-12.0370,25.2157
1716129975658.1968,-21.0478,-11.4193,23.9460
1716129977295.3787,-20.8994,-11.2909,23.7543
1716129978929.9197,-20.8996,-11.3918,23.8027
1716129980571.6699,-20.9749,-11.3244,23.8367
1716129982218.8474,-21.0307,-11.4072,23.9252
1716129983878.5503,-22.1180,-11.9612,25.1451
1716129985557.7710,-21.1494,-11.4405,24.0454
1716129987276.4888,-22.3632,-12.1646,25.4576
1716129989000.8169,-21.7860,-11.7406,24.7482
1716129990751.8809,-22.1411,-11.9831,25.1759
1716129992398.0679,-20.6996,-11.1710,23.5215
1716129994060.1064,-21.0141,-11.3845,23.8998
1716129995724.4519,-22.0428,-11.9432,25.0704
1716129997380.0095,-20.4785,-11.0858,23.2866
1716129999047.6895,-20.8958,-11.3126,23.7615
1716130000716.9988,-21.9781,-11.9127,24.9990
1716130002362.0051,-20.4684,-11.0788,23.2743
1716130004048.3210,-20.7036,-11.2139,23.5455
1716130005698.4490,-21.7402,-11.7710,24.7224
1716130007390.5742,-20.5036,-11.0931,23.3121
1716130009038.2954,-20.3521,-11.0644,23.1653
1716130010679.6980,-20.4285,-11.0607,23.2306
1716130012336.3508,-20.0930,-10.8852,22.8520
1716130013978.7847,-20.2333,-10.9941,23.0273
1716130015672.0317,-21.7523,-11.7657,24.7304
1716130017318.9385,-21.1864,-11.4782,24.0959
1716130018973.5354,-20.3808,-11.0706,23.1935
1716130020641.0750,-20.5505,-11.1691,23.3896
1716130022279.6536,-20.5599,-11.1563,23.3917
1716130023956.7949,-20.4130,-11.0320,23.2034
1716130025599.0571,-21.1179,-11.4497,24.0221
1716130027265.9912,-21.8588,-11.7871,24.8343
1716130028908.7666,-20.4202,-11.0553,23.2208
1716130030552.7136,-20.2804,-10.9915,23.0675
1716130032189.3442,-20.2373,-10.9000,22.9860
1716130033916.9031,-21.7168,-11.7757,24.7040
1716130035727.6357,-22.7508,-12.2848,25.8557
1716130037476.7520,-21.4370,-11.6328,24.3899
1716130039132.8174,-20.2454,-10.9752,23.0289
1716130040796.3843,-20.5346,-11.1023,23.3438
1716130042410.2070,-20.3531,-11.0410,23.1550
1716130044028.6179,-20.6163,-11.2228,23.4731
1716130045648.1721,-20.3496,-11.0417,23.1522
