elapsed_time_s,speed_px_s,flow_x_px,flow_y_px
0.0000,16.1744,-11.1762,23.3827
1.6123,15.9264,-11.1164,23.1468
3.2188,15.2653,-10.5834,22.1222
4.8272,16.0682,-11.1511,23.3146
6.4402,15.9058,-11.0890,23.1364
8.0466,15.3840,-10.6564,22.2979
9.6569,16.1534,-11.2314,23.4607
11.2734,16.0886,-11.2072,23.4695
12.8890,16.2623,-11.3635,23.6892
14.5069,15.7524,-11.0026,22.9886
16.1633,15.5324,-11.1037,23.2083
17.7793,15.9987,-11.1752,23.3140
19.3872,15.1427,-10.4944,21.9702
21.0091,15.9118,-11.1457,23.2758
22.6178,16.3321,-11.3676,23.6864
24.2408,16.0861,-11.2426,23.5645
25.8771,16.1640,-11.4336,23.8498
27.5863,16.1933,-11.9428,24.9688
29.2742,15.5265,-11.2814,23.6531
30.9670,16.6011,-12.1180,25.3554
32.6162,15.5616,-11.0525,23.1638
34.2673,15.9470,-11.3291,23.7681
35.9372,16.6158,-11.9569,25.0381
37.5766,15.7033,-11.0947,23.2305
39.2351,15.7959,-11.2788,23.6455
40.8817,15.5438,-11.0189,23.0997
42.5209,16.0983,-11.3872,23.8058
44.1704,16.1252,-11.4566,24.0041
45.8370,16.8089,-12.0522,25.2894
47.5467,15.5996,-11.4902,24.0679
49.2199,16.7924,-12.1050,25.3560
50.8845,15.8879,-11.4033,23.8627
52.5509,17.0131,-12.1938,25.5937
54.2191,15.6952,-11.2823,23.6279
55.9019,15.8511,-11.4852,24.0755
57.5685,16.5677,-11.8424,24.9425
59.2361,15.6673,-11.2682,23.5723
60.9134,16.4580,-11.8670,24.9244
62.5883,15.7872,-11.3749,23.8689
64.3076,16.4646,-12.1902,25.5498
65.9748,15.3961,-11.0583,23.1634
67.6361,15.8426,-11.3213,23.7593
69.3034,16.8855,-12.1119,25.4146
70.9723,15.9509,-11.4756,24.0215
72.6464,15.7983,-11.4007,23.8646
74.3390,16.8322,-12.2702,25.7126
75.9923,16.0385,-11.4131,23.9341
77.6527,15.6102,-11.1683,23.3892
79.3102,16.7270,-11.9396,25.0226
81.0159,14.8197,-10.8718,22.8203
82.6580,15.7065,-11.1275,23.2683
84.3175,16.9228,-12.0820,25.3520
85.9831,15.5390,-11.1617,23.3501
87.6635,15.5694,-11.2458,23.6226
89.3176,16.6213,-11.8427,24.8125
90.9674,15.6481,-11.1337,23.2919
92.6465,15.4989,-11.2062,23.4869
94.4453,16.0836,-12.4689,26.1069
96.1688,15.9833,-11.8631,24.8628
97.8942,15.8856,-11.8049,24.7366
99.5428,15.3023,-10.8531,22.7735
101.2143,16.2486,-11.7069,24.5064
102.8643,15.4169,-10.9433,22.9638
104.5323,15.3120,-11.0445,23.0278
106.1927,15.4049,-10.9854,23.1006
109.5347,15.8534,-22.8216,47.8138
111.1866,15.4614,-10.9995,23.0516
112.8868,16.1182,-11.8081,24.7286
114.5563,15.5805,-11.2191,23.4682
116.2177,16.4102,-11.7241,24.6137
117.8820,15.4214,-11.0291,23.1756
119.5329,15.6903,-11.1847,23.3649
121.2198,16.0292,-11.6506,24.4012
122.8964,15.0417,-10.8484,22.7657
124.5593,15.3955,-11.0316,23.1020
126.2036,15.4771,-10.9673,22.9655
127.8711,16.4695,-11.8322,24.7820
129.5714,15.5594,-11.4100,23.8697
131.2871,14.9435,-11.0318,23.1435
133.0355,15.6014,-11.7784,24.6040
134.7538,16.1034,-11.9351,24.9639
136.4286,15.8264,-11.3888,23.9345
138.0748,15.5673,-11.0454,23.1245
139.7226,15.5341,-11.0391,23.0930
141.3644,15.6023,-11.0090,23.1306
143.0492,15.0614,-10.9246,22.9024
144.6997,15.4733,-10.9992,23.0500
146.4037,15.9297,-11.6906,24.4971
148.0562,15.1435,-10.7403,22.6030
149.6891,15.8711,-11.1497,23.3944
151.3325,16.6349,-11.7831,24.6685
152.9915,15.5102,-11.0779,23.2252
154.6364,15.7535,-11.1526,23.3887
156.2965,15.5684,-11.1303,23.3262
157.9621,16.8229,-12.0385,25.3025
159.6034,15.8320,-11.2099,23.4432
161.2597,15.6100,-11.1042,23.3482
162.8924,15.9606,-11.2308,23.5147
164.6136,15.7516,-11.6797,24.4662
166.2593,15.8356,-11.2159,23.5249
167.9084,15.6699,-11.1420,23.3147
169.5541,15.6401,-11.0792,23.2334
171.2086,15.8900,-11.3167,23.7284
172.8489,17.1177,-12.0825,25.3451
174.5181,15.5002,-11.1519,23.3474
176.1707,16.0573,-11.4447,23.9416
177.8218,15.8503,-11.2507,23.6273
179.4803,15.8641,-11.3423,23.7411
181.1856,16.3782,-12.0262,25.2072
182.8638,16.5115,-11.9067,25.0224
184.5257,15.6134,-11.1660,23.4225
186.1793,15.6841,-11.1963,23.3941
187.8445,15.5747,-11.1333,23.4230
189.5076,17.0245,-12.2165,25.5414
191.1619,15.7901,-11.2486,23.5760
192.8449,15.4205,-11.1690,23.4272
194.4860,16.9583,-11.9909,25.1133
196.1795,15.6167,-11.3808,23.8734
197.8332,16.0142,-11.4138,23.8964
199.4753,16.4997,-11.6665,24.4546
201.1452,16.7062,-11.9907,25.1900
202.7786,16.1755,-11.3515,23.8571
204.4264,15.9349,-11.2882,23.7071
206.0798,16.0044,-11.4103,23.8763
207.7266,15.6908,-11.0886,23.3382
209.3685,16.0258,-11.2937,23.7673
211.0129,15.9541,-11.2544,23.6974
212.7088,16.4760,-12.0370,25.2157
214.3426,16.2377,-11.4193,23.9460
215.9806,16.0566,-11.2909,23.7543
217.6151,16.1442,-11.3918,23.8027
219.2570,16.0727,-11.3244,23.8367
220.9032,16.1012,-11.4072,23.9252
222.5634,16.7720,-11.9612,25.1451
224.2421,15.8623,-11.4405,24.0454
225.9609,16.4161,-12.1646,25.4576
227.6862,15.8764,-11.7406,24.7482
229.4373,15.9230,-11.9831,25.1759
231.0824,15.8276,-11.1710,23.5215
232.7455,15.9183,-11.3845,23.8998
234.4098,16.6853,-11.9432,25.0704
236.0644,15.5876,-11.0858,23.2866
237.7321,15.7806,-11.3126,23.7615
239.4014,16.5891,-11.9127,24.9990
241.0474,15.6602,-11.0788,23.2743
242.7336,15.4663,-11.2139,23.5455
244.3838,16.5928,-11.7710,24.7224
246.0750,15.2658,-11.0931,23.3121
247.7237,15.5708,-11.0644,23.1653
249.3649,15.6765,-11.0607,23.2306
251.0207,15.2871,-10.8852,22.8520
252.6632,15.5362,-10.9941,23.0273
254.3572,16.1667,-11.7657,24.7304
256.0043,16.2038,-11.4782,24.0959
257.6588,15.5337,-11.0706,23.1935
259.3263,15.5435,-11.1691,23.3896
260.9640,15.8247,-11.1563,23.3917
262.6412,15.3192,-11.0320,23.2034
264.2834,16.2040,-11.4497,24.0221
265.9504,16.4911,-11.7871,24.8343
267.5942,15.6457,-11.0553,23.2208
269.2376,15.5481,-10.9915,23.0675
270.8747,15.5393,-10.9000,22.9860
272.6013,15.8505,-11.7757,24.7040
274.4240,15.7046,-12.2848,25.8557
276.1611,15.5559,-11.6328,24.3899
277.8172,15.4043,-10.9752,23.0289
279.4813,15.5333,-11.1023,23.3438
281.0946,15.9011,-11.0410,23.1550
282.7130,16.0763,-11.2228,23.4731
284.3326,15.8379,-11.0417,23.1522
285.9885,15.6220,-11.1731,23.3321
287.5990,15.8660,-10.9868,23.0696
289.2225,15.5629,-10.8892,22.7988
290.8504,15.5905,-10.9100,22.9154
292.4726,15.9364,-11.1395,23.3294
294.0980,15.5628,-10.9072,22.8231
295.7518,15.4580,-10.9838,23.0847
297.3716,15.4401,-10.7927,22.5608
298.9962,15.7131,-10.9873,23.0426
300.6141,16.1678,-11.2650,23.6090
302.2323,14.8306,-10.3454,21.6536
303.8523,16.0735,-11.2073,23.5039
305.4762,16.2171,-11.3309,23.7721
307.1013,15.7637,-11.0202,23.1262
308.7234,15.9033,-11.0969,23.2878
310.3687,15.7193,-11.1392,23.3412
311.9872,16.0589,-11.1726,23.4679
313.6123,16.0072,-11.2071,23.4760
315.2530,15.3694,-10.8467,22.7649
316.8784,16.2613,-11.4074,23.8424
318.5281,15.8610,-11.2597,23.6188
320.1570,15.8357,-11.0877,23.2900
321.7798,16.1436,-11.3019,23.6355
323.4060,16.3102,-11.3737,23.9611
325.0361,14.8490,-10.4264,21.8442
326.6996,17.1414,-12.2621,25.7434
328.3200,16.0764,-11.2020,23.5195
329.9319,16.3452,-11.3135,23.7941
331.5648,14.9123,-10.4433,21.9965
333.1972,16.1068,-11.2852,23.7476
334.8269,16.1502,-11.3270,23.7586
336.4850,16.6638,-11.8897,24.9404
338.2097,15.9313,-11.8012,24.8135
339.8515,16.0477,-11.3380,23.7836
341.4703,16.2629,-11.3158,23.7692
343.1262,15.9645,-11.3773,23.8622
344.7469,16.4047,-11.4316,24.0053
346.3779,16.0790,-11.2598,23.6842
348.0387,16.0223,-11.4531,24.0185
349.6749,16.1155,-11.3371,23.8065
351.3045,16.0514,-11.2380,23.6198
352.9279,16.3748,-11.4410,23.9958
354.5635,15.9892,-11.2340,23.6158
356.1980,15.8875,-11.1545,23.4511
357.8595,15.7135,-11.2439,23.5619
359.4855,16.0254,-11.1992,23.5274
361.1069,16.1666,-11.2923,23.6565
362.7254,16.2157,-11.2713,23.7020
364.3428,16.0813,-11.1618,23.4923
365.9760,16.2101,-11.4027,23.8930
367.6038,16.3453,-11.4475,24.0185
369.2237,16.3359,-11.3936,23.8849
370.8501,16.3463,-11.4330,24.0007
372.4701,15.3545,-10.6779,22.4661
374.1368,16.8679,-12.0804,25.3857
375.7483,16.3567,-11.3199,23.8052
377.3504,15.3716,-10.5852,22.2347
378.9692,16.1783,-11.2661,23.6430
